model_id,property,index,equation,n,r,R2,adjusted_R2,p_value,slope,intercept,std_err,RMSE,MAE,MAPE_percent,model_quality
BP__SCI,BP,SCI,BP = (34.0506)*SCI + (160.692),12,0.9647394245067764,0.9307221571976662,0.9237943729174327,4.04578062329735e-07,34.05062278159375,160.69247157911263,2.937732250568035,39.12271569314417,35.05105011841687,6.369950608133293,excellent
BP__RR,BP,RR,BP = (6.36367)*RR + (190.065),12,0.9636864606215548,0.9286915943852998,0.9215607538238297,4.678704059790178e-07,6.363672803738247,190.06493542673212,0.5576252711823535,39.691926518654256,34.735362639006176,6.372439512784343,excellent
BP__M1,BP,M1,BP = (3.16449)*M1 + (182.196),12,0.963381821111036,0.928104533247216,0.9209149865719376,4.875765135937696e-07,3.1644889099911824,182.19631553957805,0.2785196782594678,39.854977599236776,35.06146804133035,6.392431611793385,excellent
EV__H,EV,H,EV = (4.6198)*H + (38.5779),12,0.9650567963215436,0.9313346201264012,0.9244680821390413,3.86902714312637e-07,4.619801347938028,38.57788490870711,0.3966791200724558,4.886783770878656,4.515709707946757,5.059790216447442,excellent
EV__SCI,EV,SCI,EV = (4.27323)*SCI + (39.1562),12,0.9649817395740118,0.931189757711286,0.9243087334824146,3.910262912869255e-07,4.2732324927534835,39.156189444997715,0.3673364040935785,4.8919358455203605,4.535997259893677,5.08403453436856,excellent
EV__RI,EV,RI,EV = (4.60177)*RI + (36.9284),12,0.9643500346027016,0.9299709892382316,0.9229680881620548,4.271350501875547e-07,4.601773233281971,36.92837537481543,0.3993277664120245,4.935068727004779,4.531950297397656,5.0508364011308,excellent
FP__RI,FP,RI,FP = (23.7131)*RI + (12.084),12,0.9298263049962512,0.8645769574629814,0.8510346532092795,1.1902530590636717e-05,23.713065114052284,12.083976626925905,2.967783042077228,36.67717226649998,29.200239054352853,11.809374711416442,good
FP__SCI,FP,SCI,FP = (21.9968)*SCI + (23.8843),12,0.9294509670753884,0.863879100197375,0.8502670102171125,1.221641486510857e-05,21.99678767068913,23.884329621787177,2.761182960765508,36.77155259125318,28.91273852844627,11.861162883663168,good
FP__H,FP,H,FP = (23.7715)*H + (21.0265),12,0.9291609353975854,0.8633400438689158,0.8496740482558074,1.2463408156837515e-05,23.771507420980488,21.02652690385071,2.9907934335210817,36.84429069599564,29.212732452197795,11.886534713897765,good
MR__RI,MR,RI,MR = (7.54281)*RI + (2.71899),13,0.9928598165181118,0.9857706152563788,0.9844770348251405,1.6464232309916762e-11,7.542809150292935,2.7189909610288083,0.2732385070479307,3.5609219467048683,2.92911005622699,3.1983309862738984,excellent
MR__H,MR,H,MR = (7.61951)*H + (5.02085),13,0.9925052678145608,0.9850667066396532,0.9837091345159853,2.1478532583841065e-11,7.61951384111783,5.02085390448147,0.2828628400958404,3.6479358417722403,3.082284079625519,3.3713916384761684,excellent
MR__SCI,MR,SCI,MR = (7.00009)*SCI + (6.5075),13,0.99024485039574,0.9805848637352814,0.9788198513475798,9.115014262734822e-11,7.000086090410705,6.507499924490659,0.2969851044998992,4.159485499726247,3.738926157158877,3.969180188841985,excellent
MV__RI,MV,RI,MV = (17.4873)*RI + (55.8737),13,0.9397241227103318,0.8830814268037027,0.8724524656040393,1.8510320402484548e-06,17.487327350950498,55.87374196707688,1.918529472930153,25.00282181807821,20.934313028825702,7.359648195927518,good
MV__H,MV,H,MV = (17.602)*H + (62.0405),13,0.9360313768041684,0.876154738361907,0.8648960782129895,2.548676534871014e-06,17.60202883627816,62.04050289119385,1.9953343360671272,25.732795578209643,21.366538881986955,7.526921488568542,good
MV__SCI,MV,SCI,MV = (16.1092)*SCI + (66.3474),13,0.9303254856427564,0.8655055092364303,0.8532787373488331,4.0323691910110354e-06,16.10918563832468,66.34744862641793,1.914672822410054,26.816341024730498,22.990305846734618,8.091414584725884,good
ST__H,ST,H,ST = (1.59188)*H + (37.8458),13,0.6467549503359655,0.4182919657840772,0.3654094172189932,0.0168945507437542,1.591876827922437,37.84578365747114,0.5660123247349055,7.29956839005679,6.092939509000443,10.360672002159301,weak
ST__RI,ST,RI,ST = (1.57307)*RI + (37.4027),13,0.6458421447891979,0.4171120759859112,0.36412226471190323,0.0171017142335997,1.5730655659465378,37.402731608648466,0.5606820198288208,7.306967568744026,6.069808174028676,10.328077360911852,weak
ST__SCI,ST,SCI,ST = (1.46023)*SCI + (38.1879),13,0.6442949196621047,0.415115943502398,0.36194466563897965,0.017457193243777,1.4602282734842655,38.18791750544568,0.5226062450593592,7.319468436140098,6.067235763308205,10.286719010923411,weak
